time,RTR-576,SCD30,SCD41
2021/6/1 0:00,420,434,447
2021/6/1 0:01,420,432,446
2021/6/1 0:02,420,431,448
2021/6/1 0:03,420,434,448
2021/6/1 0:04,421,436,447
2021/6/1 0:05,421,437,449
2021/6/1 0:06,421,437,448
2021/6/1 0:07,421,435,449
2021/6/1 0:08,421,435,451
2021/6/1 0:09,421,435,450
2021/6/1 0:10,421,437,450
2021/6/1 0:11,422,440,452
2021/6/1 0:12,422,442,450
2021/6/1 0:13,422,443,450
2021/6/1 0:14,422,439,450
2021/6/1 0:15,422,439,450
2021/6/1 0:16,422,441,447
2021/6/1 0:17,422,442,449
2021/6/1 0:18,421,441,451
2021/6/1 0:19,423,442,450
2021/6/1 0:20,423,443,450
2021/6/1 0:21,423,443,449
2021/6/1 0:22,424,442,452
2021/6/1 0:23,423,444,453
2021/6/1 0:24,423,446,454
2021/6/1 0:25,423,447,454
2021/6/1 0:26,424,448,451
2021/6/1 0:27,424,445,450
2021/6/1 0:28,424,443,452
2021/6/1 0:29,423,442,450
2021/6/1 0:30,423,443,450
2021/6/1 0:31,424,443,449
2021/6/1 0:32,424,444,448
2021/6/1 0:33,424,442,449
2021/6/1 0:34,424,444,449
2021/6/1 0:35,424,448,450
2021/6/1 0:36,425,448,453
2021/6/1 0:37,424,446,451
2021/6/1 0:38,425,446,451
2021/6/1 0:39,424,445,452
2021/6/1 0:40,424,443,451
2021/6/1 0:41,425,442,453
2021/6/1 0:42,426,442,451
2021/6/1 0:43,426,442,454
2021/6/1 0:44,426,442,456
2021/6/1 0:45,427,444,455
2021/6/1 0:46,426,445,452
2021/6/1 0:47,426,446,452
2021/6/1 0:48,426,447,453
2021/6/1 0:49,426,447,454
2021/6/1 0:50,426,447,455
2021/6/1 0:51,425,448,455
2021/6/1 0:52,425,447,453
2021/6/1 0:53,426,449,452
2021/6/1 0:54,425,449,452
2021/6/1 0:55,425,448,451
2021/6/1 0:56,425,445,451
2021/6/1 0:57,425,443,452
2021/6/1 0:58,425,441,451
2021/6/1 0:59,425,442,451
2021/6/1 1:00,425,442,451
2021/6/1 1:01,425,442,454
2021/6/1 1:02,425,441,451
2021/6/1 1:03,425,440,451
2021/6/1 1:04,425,438,453
2021/6/1 1:05,425,438,453
2021/6/1 1:06,425,439,453
2021/6/1 1:07,425,440,455
2021/6/1 1:08,426,440,458
2021/6/1 1:09,425,440,456
2021/6/1 1:10,425,442,454
2021/6/1 1:11,425,441,452
2021/6/1 1:12,425,441,450
2021/6/1 1:13,425,442,451
2021/6/1 1:14,425,440,451
2021/6/1 1:15,425,440,450
2021/6/1 1:16,425,440,451
2021/6/1 1:17,425,440,449
2021/6/1 1:18,425,440,449
2021/6/1 1:19,425,439,448
2021/6/1 1:20,425,439,447
